path,sha256,origin,source_commit,author,classification,license,decision,reviewer,evidence
NOTICE,62d9a953f158c2bea7395a707df87433d40c96341dccc3cc3cd0ec5e9488995e,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
README.md,c60b2172a2d5a213223a0906ae51aa27957e16872838a2fa69249158fa31df23,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
SECURITY.md,cdc2cee0e6d3ffceb939f3fadde4ed27db30fa9a3b3258e12aad4a9d8d93e9c0,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
SUPPORT.md,70d249ec197616cd95bcee4470f049b77d35e1941883555bf2d4c155a402bbec,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
THIRD_PARTY_NOTICES.md,6e42770367679a66f63aed0209e0cf605c69e27cfbe7d1936fae5bdd0a826cd2,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/CLI-CONTRACT.md,13c4df7f0d69ffdb93c4c0d540e173b68d707628a885aadfa69e9aa49482e078,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/DEPENDENCY-LICENSING.md,72d04265cf50d648ba16e3831fec7b01e7900af4c5fc5adc5c12744c6ff652f4,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/EDITIONS.md,52213f506f7f1886d052f22015ad7f1aba2c96a5f5cfbf0b61e3d9d3330b50ed,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/INSTALLATION.md,99dea0c8ee23ef0152daddfcd0f8724a831bd1a4d4906de8e890fcb1324c697b,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/LEGAL-RELEASE-GATE.md,d00f61267fcbc89ff8bb6d3672360ca9997dbabc64ff9bdb1c90bd4f16ebf730,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/P1-READINESS.md,02e5e45f4b965d6e86c86a77b72f7eb913dc820c159732fdc54ad64b01636788,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/PROVENANCE.md,8ae8aa79c987a95278f5a21d2602d60dec88edd1cd5aa729763a193376dd73db,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/RELEASE-0.1.0.md,ef758f78065f8ad86b1f94f033b35d837250c33594d407d85e7ea158dc344b38,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/ROLE-SCHEMA-COMPATIBILITY.md,0c4ca9ee433ede83a094ed7a517c34523489c66e4af19d5837a9a32e4ccc8fe5,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/UPGRADE-ROLLBACK.md,befe0c95e58865be66129cf249dfff7fddc87747d3c02bea3d9af25ab05311f4,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/VERSIONING.md,6d90ba0ba4d0b1267d534e6d8323e1c1017993be3c51911ba8edd7b8cc9864e5,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/adr/ADR-001-local-role-storage.md,2b42ed2a09322b38c8d0573e3d8dc415442b55cf2039979e2e0dbf809f18afb9,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/architecture/ROLE-STORAGE-SELECTION-STUDY.md,52025dbcc954c81bc930ed31ba4648333ad6f24727201a0560afc8acead58fba,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/gates/P0-MAINTAINERS-GATE.md,c24c7eb9e3ecf9baa483272f481b3fac872a2e76d44bc9c7798fdd73c8194339,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/gates/P0-MARKS-GATE.md,416377ae9dfa116affab865d858f3c54bcae5ef100f24838c399c2ace433909d,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/gates/P0-PROVENANCE-GATE.md,7cb49a5e030f183cef3c71491ac362610bf1b53f3bed741e195b58a4a5e0f534,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
docs/gates/P0-PUBLICATION-AUTHORIZATION.md,4c5299910d55d5e829350c50f198d5700921b51f4f5726e1516fb720b42f29ab,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
examples/config.proposed.json,d602c050cf6668948c8b74b8c856beca100a294ecbe65b63432ebba6ce0dc42f,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
